[COURSE:4][Final Project]: Linux Pi4 6.1.21-v8+ #1642 SMP PREEMPT Mon Apr  3 17:24:16 BST 2023 aarch64 GNU/Linux
Linux DESKTOP-C2TSGBN 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64
2026-01-21T18:00:02.300000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 24] [Image Capture Start Time: 2.3 seconds]
2026-01-21T18:00:02.400000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 25] [Image Capture Start Time: 2.4 seconds]
2026-01-21T18:00:02.500000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 26] [Image Capture Start Time: 2.5 seconds]
2026-01-21T18:00:02.600000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 27] [Image Capture Start Time: 2.6 seconds]
2026-01-21T18:00:02.700000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 28] [Image Capture Start Time: 2.7 seconds]
2026-01-21T18:00:02.800000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 29] [Image Capture Start Time: 2.8 seconds]
2026-01-21T18:00:02.900000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 30] [Image Capture Start Time: 2.9 seconds]
2026-01-21T18:00:03+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 31] [Image Capture Start Time: 3.0 seconds]
2026-01-21T18:00:03.100000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 32] [Image Capture Start Time: 3.1 seconds]
2026-01-21T18:00:03.200000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 33] [Image Capture Start Time: 3.2 seconds]
2026-01-21T18:00:03.300000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 34] [Image Capture Start Time: 3.3 seconds]
2026-01-21T18:00:03.400000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 35] [Image Capture Start Time: 3.4 seconds]
2026-01-21T18:00:03.500000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 36] [Image Capture Start Time: 3.5 seconds]
2026-01-21T18:00:03.600000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 37] [Image Capture Start Time: 3.6 seconds]
2026-01-21T18:00:03.700000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 38] [Image Capture Start Time: 3.7 seconds]
2026-01-21T18:00:03.800000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 39] [Image Capture Start Time: 3.8 seconds]
2026-01-21T18:00:03.900000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 40] [Image Capture Start Time: 3.9 seconds]
2026-01-21T18:00:04+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 41] [Image Capture Start Time: 4.0 seconds]
2026-01-21T18:00:04.100000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 42] [Image Capture Start Time: 4.1 seconds]
2026-01-21T18:00:04.200000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 43] [Image Capture Start Time: 4.2 seconds]
2026-01-21T18:00:04.300000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 44] [Image Capture Start Time: 4.3 seconds]
2026-01-21T18:00:04.400000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 45] [Image Capture Start Time: 4.4 seconds]
2026-01-21T18:00:04.500000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 46] [Image Capture Start Time: 4.5 seconds]
2026-01-21T18:00:04.600000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 47] [Image Capture Start Time: 4.6 seconds]
2026-01-21T18:00:04.700000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 48] [Image Capture Start Time: 4.7 seconds]
2026-01-21T18:00:04.800000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 49] [Image Capture Start Time: 4.8 seconds]
2026-01-21T18:00:04.900000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 50] [Image Capture Start Time: 4.9 seconds]
2026-01-21T18:00:05+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 51] [Image Capture Start Time: 5.0 seconds]
2026-01-21T18:00:05.100000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 52] [Image Capture Start Time: 5.1 seconds]
2026-01-21T18:00:05.200000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 53] [Image Capture Start Time: 5.2 seconds]
2026-01-21T18:00:05.300000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 54] [Image Capture Start Time: 5.3 seconds]
2026-01-21T18:00:05.400000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 55] [Image Capture Start Time: 5.4 seconds]
2026-01-21T18:00:05.500000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 56] [Image Capture Start Time: 5.5 seconds]
2026-01-21T18:00:05.600000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 57] [Image Capture Start Time: 5.6 seconds]
2026-01-21T18:00:05.700000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 58] [Image Capture Start Time: 5.7 seconds]
2026-01-21T18:00:05.800000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 59] [Image Capture Start Time: 5.8 seconds]
2026-01-21T18:00:05.900000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 60] [Image Capture Start Time: 5.9 seconds]
2026-01-21T18:00:06+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 61] [Image Capture Start Time: 6.0 seconds]
2026-01-21T18:00:06.100000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 62] [Image Capture Start Time: 6.1 seconds]
2026-01-21T18:00:06.200000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 63] [Image Capture Start Time: 6.2 seconds]
2026-01-21T18:00:06.300000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 64] [Image Capture Start Time: 6.3 seconds]
2026-01-21T18:00:06.400000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 65] [Image Capture Start Time: 6.4 seconds]
2026-01-21T18:00:06.500000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 66] [Image Capture Start Time: 6.5 seconds]
2026-01-21T18:00:06.600000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 67] [Image Capture Start Time: 6.6 seconds]
2026-01-21T18:00:06.700000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 68] [Image Capture Start Time: 6.7 seconds]
2026-01-21T18:00:06.800000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 69] [Image Capture Start Time: 6.8 seconds]
2026-01-21T18:00:06.900000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 70] [Image Capture Start Time: 6.9 seconds]
2026-01-21T18:00:07+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 71] [Image Capture Start Time: 7.0 seconds]
2026-01-21T18:00:07.100000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 72] [Image Capture Start Time: 7.1 seconds]
2026-01-21T18:00:07.200000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 73] [Image Capture Start Time: 7.2 seconds]
2026-01-21T18:00:07.300000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 74] [Image Capture Start Time: 7.3 seconds]
2026-01-21T18:00:07.400000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 75] [Image Capture Start Time: 7.4 seconds]
2026-01-21T18:00:07.500000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 76] [Image Capture Start Time: 7.5 seconds]
2026-01-21T18:00:07.600000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 77] [Image Capture Start Time: 7.6 seconds]
2026-01-21T18:00:07.700000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 78] [Image Capture Start Time: 7.7 seconds]
2026-01-21T18:00:07.800000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 79] [Image Capture Start Time: 7.8 seconds]
2026-01-21T18:00:07.900000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 80] [Image Capture Start Time: 7.9 seconds]
2026-01-21T18:00:08+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 81] [Image Capture Start Time: 8.0 seconds]
2026-01-21T18:00:08.100000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 82] [Image Capture Start Time: 8.1 seconds]
2026-01-21T18:00:08.200000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 83] [Image Capture Start Time: 8.2 seconds]
2026-01-21T18:00:08.300000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 84] [Image Capture Start Time: 8.3 seconds]
2026-01-21T18:00:08.400000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 85] [Image Capture Start Time: 8.4 seconds]
2026-01-21T18:00:08.500000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 86] [Image Capture Start Time: 8.5 seconds]
2026-01-21T18:00:08.600000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 87] [Image Capture Start Time: 8.6 seconds]
2026-01-21T18:00:08.700000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 88] [Image Capture Start Time: 8.7 seconds]
2026-01-21T18:00:08.800000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 89] [Image Capture Start Time: 8.8 seconds]
2026-01-21T18:00:08.900000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 90] [Image Capture Start Time: 8.9 seconds]
2026-01-21T18:00:09+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 91] [Image Capture Start Time: 9.0 seconds]
2026-01-21T18:00:09.100000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 92] [Image Capture Start Time: 9.1 seconds]
2026-01-21T18:00:09.200000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 93] [Image Capture Start Time: 9.2 seconds]
2026-01-21T18:00:09.300000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 94] [Image Capture Start Time: 9.3 seconds]
2026-01-21T18:00:09.400000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 95] [Image Capture Start Time: 9.4 seconds]
2026-01-21T18:00:09.500000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 96] [Image Capture Start Time: 9.5 seconds]
2026-01-21T18:00:09.600000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 97] [Image Capture Start Time: 9.6 seconds]
2026-01-21T18:00:09.700000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 98] [Image Capture Start Time: 9.7 seconds]
2026-01-21T18:00:09.800000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 99] [Image Capture Start Time: 9.8 seconds]
2026-01-21T18:00:09.900000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 100] [Image Capture Start Time: 9.9 seconds]
2026-01-21T18:00:10+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 101] [Image Capture Start Time: 10.0 seconds]
2026-01-21T18:00:10.100000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 102] [Image Capture Start Time: 10.1 seconds]
2026-01-21T18:00:10.200000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 103] [Image Capture Start Time: 10.2 seconds]
2026-01-21T18:00:10.300000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 104] [Image Capture Start Time: 10.3 seconds]
2026-01-21T18:00:10.400000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 105] [Image Capture Start Time: 10.4 seconds]
2026-01-21T18:00:10.500000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 106] [Image Capture Start Time: 10.5 seconds]
2026-01-21T18:00:10.600000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 107] [Image Capture Start Time: 10.6 seconds]
2026-01-21T18:00:10.700000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 108] [Image Capture Start Time: 10.7 seconds]
2026-01-21T18:00:10.800000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 109] [Image Capture Start Time: 10.8 seconds]
2026-01-21T18:00:10.900000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 110] [Image Capture Start Time: 10.9 seconds]
2026-01-21T18:00:11+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 111] [Image Capture Start Time: 11.0 seconds]
2026-01-21T18:00:11.100000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 112] [Image Capture Start Time: 11.1 seconds]
2026-01-21T18:00:11.200000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 113] [Image Capture Start Time: 11.2 seconds]
2026-01-21T18:00:11.300000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 114] [Image Capture Start Time: 11.3 seconds]
2026-01-21T18:00:11.400000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 115] [Image Capture Start Time: 11.4 seconds]
2026-01-21T18:00:11.500000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 116] [Image Capture Start Time: 11.5 seconds]
2026-01-21T18:00:11.600000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 117] [Image Capture Start Time: 11.6 seconds]
2026-01-21T18:00:11.700000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 118] [Image Capture Start Time: 11.7 seconds]
2026-01-21T18:00:11.800000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 119] [Image Capture Start Time: 11.8 seconds]
2026-01-21T18:00:11.900000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 120] [Image Capture Start Time: 11.9 seconds]
2026-01-21T18:00:12+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 121] [Image Capture Start Time: 12.0 seconds]
2026-01-21T18:00:12.100000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 122] [Image Capture Start Time: 12.1 seconds]
2026-01-21T18:00:12.200000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 123] [Image Capture Start Time: 12.2 seconds]
2026-01-21T18:00:12.300000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 124] [Image Capture Start Time: 12.3 seconds]
2026-01-21T18:00:12.400000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 125] [Image Capture Start Time: 12.4 seconds]
2026-01-21T18:00:12.500000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 126] [Image Capture Start Time: 12.5 seconds]
2026-01-21T18:00:12.600000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 127] [Image Capture Start Time: 12.6 seconds]
2026-01-21T18:00:12.700000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 128] [Image Capture Start Time: 12.7 seconds]
2026-01-21T18:00:12.800000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 129] [Image Capture Start Time: 12.8 seconds]
2026-01-21T18:00:12.900000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 130] [Image Capture Start Time: 12.9 seconds]
2026-01-21T18:00:13+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 131] [Image Capture Start Time: 13.0 seconds]
2026-01-21T18:00:13.100000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 132] [Image Capture Start Time: 13.1 seconds]
2026-01-21T18:00:13.200000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 133] [Image Capture Start Time: 13.2 seconds]
2026-01-21T18:00:13.300000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 134] [Image Capture Start Time: 13.3 seconds]
2026-01-21T18:00:13.400000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 135] [Image Capture Start Time: 13.4 seconds]
2026-01-21T18:00:13.500000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 136] [Image Capture Start Time: 13.5 seconds]
2026-01-21T18:00:13.600000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 137] [Image Capture Start Time: 13.6 seconds]
2026-01-21T18:00:13.700000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 138] [Image Capture Start Time: 13.7 seconds]
2026-01-21T18:00:13.800000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 139] [Image Capture Start Time: 13.8 seconds]
2026-01-21T18:00:13.900000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 140] [Image Capture Start Time: 13.9 seconds]
2026-01-21T18:00:14+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 141] [Image Capture Start Time: 14.0 seconds]
2026-01-21T18:00:14.100000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 142] [Image Capture Start Time: 14.1 seconds]
2026-01-21T18:00:14.200000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 143] [Image Capture Start Time: 14.2 seconds]
2026-01-21T18:00:14.300000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 144] [Image Capture Start Time: 14.3 seconds]
2026-01-21T18:00:14.400000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 145] [Image Capture Start Time: 14.4 seconds]
2026-01-21T18:00:14.500000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 146] [Image Capture Start Time: 14.5 seconds]
2026-01-21T18:00:14.600000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 147] [Image Capture Start Time: 14.6 seconds]
2026-01-21T18:00:14.700000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 148] [Image Capture Start Time: 14.7 seconds]
2026-01-21T18:00:14.800000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 149] [Image Capture Start Time: 14.8 seconds]
2026-01-21T18:00:14.900000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 150] [Image Capture Start Time: 14.9 seconds]
2026-01-21T18:00:15+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 151] [Image Capture Start Time: 15.0 seconds]
2026-01-21T18:00:15.100000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 152] [Image Capture Start Time: 15.1 seconds]
2026-01-21T18:00:15.200000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 153] [Image Capture Start Time: 15.2 seconds]
2026-01-21T18:00:15.300000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 154] [Image Capture Start Time: 15.3 seconds]
2026-01-21T18:00:15.400000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 155] [Image Capture Start Time: 15.4 seconds]
2026-01-21T18:00:15.500000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 156] [Image Capture Start Time: 15.5 seconds]
2026-01-21T18:00:15.600000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 157] [Image Capture Start Time: 15.6 seconds]
2026-01-21T18:00:15.700000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 158] [Image Capture Start Time: 15.7 seconds]
2026-01-21T18:00:15.800000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 159] [Image Capture Start Time: 15.8 seconds]
2026-01-21T18:00:15.900000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 160] [Image Capture Start Time: 15.9 seconds]
2026-01-21T18:00:16+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 161] [Image Capture Start Time: 16.0 seconds]
2026-01-21T18:00:16.100000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 162] [Image Capture Start Time: 16.1 seconds]
2026-01-21T18:00:16.200000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 163] [Image Capture Start Time: 16.2 seconds]
2026-01-21T18:00:16.300000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 164] [Image Capture Start Time: 16.3 seconds]
2026-01-21T18:00:16.400000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 165] [Image Capture Start Time: 16.4 seconds]
2026-01-21T18:00:16.500000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 166] [Image Capture Start Time: 16.5 seconds]
2026-01-21T18:00:16.600000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 167] [Image Capture Start Time: 16.6 seconds]
2026-01-21T18:00:16.700000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 168] [Image Capture Start Time: 16.7 seconds]
2026-01-21T18:00:16.800000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 169] [Image Capture Start Time: 16.8 seconds]
2026-01-21T18:00:16.900000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 170] [Image Capture Start Time: 16.9 seconds]
2026-01-21T18:00:17+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 171] [Image Capture Start Time: 17.0 seconds]
2026-01-21T18:00:17.100000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 172] [Image Capture Start Time: 17.1 seconds]
2026-01-21T18:00:17.200000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 173] [Image Capture Start Time: 17.2 seconds]
2026-01-21T18:00:17.300000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 174] [Image Capture Start Time: 17.3 seconds]
2026-01-21T18:00:17.400000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 175] [Image Capture Start Time: 17.4 seconds]
2026-01-21T18:00:17.500000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 176] [Image Capture Start Time: 17.5 seconds]
2026-01-21T18:00:17.600000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 177] [Image Capture Start Time: 17.6 seconds]
2026-01-21T18:00:17.700000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 178] [Image Capture Start Time: 17.7 seconds]
2026-01-21T18:00:17.800000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 179] [Image Capture Start Time: 17.8 seconds]
2026-01-21T18:00:17.900000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 180] [Image Capture Start Time: 17.9 seconds]
2026-01-21T18:00:18+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 181] [Image Capture Start Time: 18.0 seconds]
2026-01-21T18:00:18.100000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 182] [Image Capture Start Time: 18.1 seconds]
2026-01-21T18:00:18.200000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 183] [Image Capture Start Time: 18.2 seconds]
2026-01-21T18:00:18.300000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 184] [Image Capture Start Time: 18.3 seconds]
2026-01-21T18:00:18.400000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 185] [Image Capture Start Time: 18.4 seconds]
2026-01-21T18:00:18.500000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 186] [Image Capture Start Time: 18.5 seconds]
2026-01-21T18:00:18.600000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 187] [Image Capture Start Time: 18.6 seconds]
2026-01-21T18:00:18.700000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 188] [Image Capture Start Time: 18.7 seconds]
2026-01-21T18:00:18.800000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 189] [Image Capture Start Time: 18.8 seconds]
2026-01-21T18:00:18.900000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 190] [Image Capture Start Time: 18.9 seconds]
2026-01-21T18:00:19+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 191] [Image Capture Start Time: 19.0 seconds]
2026-01-21T18:00:19.100000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 192] [Image Capture Start Time: 19.1 seconds]
2026-01-21T18:00:19.200000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 193] [Image Capture Start Time: 19.2 seconds]
2026-01-21T18:00:19.300000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 194] [Image Capture Start Time: 19.3 seconds]
2026-01-21T18:00:19.400000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 195] [Image Capture Start Time: 19.4 seconds]
2026-01-21T18:00:19.500000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 196] [Image Capture Start Time: 19.5 seconds]
2026-01-21T18:00:19.600000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 197] [Image Capture Start Time: 19.6 seconds]
2026-01-21T18:00:19.700000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 198] [Image Capture Start Time: 19.7 seconds]
2026-01-21T18:00:19.800000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 199] [Image Capture Start Time: 19.8 seconds]
2026-01-21T18:00:19.900000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 200] [Image Capture Start Time: 19.9 seconds]
2026-01-21T18:00:20+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 201] [Image Capture Start Time: 20.0 seconds]
